skin_humidity,skin_temperature,steps,stress_level
23.94,92.94,162,2
29.31,98.31,131,2
25.18,94.18,144,2
15.25,84.25,70,1
28.44,97.44,186,2
17.21,86.21,84,1
19.57,88.57,99,1
25.54,94.54,180,2
25.04,94.04,130,2
18.87,87.87,68,1
16.3,85.3,84,1
23.58,92.58,197,2
14.35,83.35,71,0
27.12,96.12,196,2
20.03,89.03,107,1
19.11,88.11,91,1
19.82,88.82,124,1
11.85,80.85,3,0
27.35,96.35,148,2
25.12,94.12,138,2
15.0,84.0,45,0
24.06,93.06,174,2
11.28,80.28,37,0
17.8,86.8,52,1
14.92,83.92,37,0
21.81,90.81,95,1
15.52,84.52,6,1
10.17,79.17,17,0
10.29,79.29,29,0
15.55,84.55,9,1
27.68,96.68,181,2
14.86,83.86,31,0
23.18,92.18,157,2
22.44,91.44,120,1
22.98,91.98,137,2
29.6,98.6,160,2
23.24,92.24,163,2
20.04,89.04,108,1
11.4,80.4,49,0
18.86,87.86,67,1
22.11,91.11,125,1
20.85,89.85,113,1
28.77,97.77,148,2
10.52,79.52,52,0
13.51,82.51,78,0
24.41,93.41,138,2
12.54,81.54,72,0
12.86,81.86,13,0
22.53,91.53,129,1
28.8,97.8,151,2
27.72,96.72,185,2
17.9,86.9,62,1
19.88,88.88,92,1
28.42,97.42,184,2
15.58,84.58,12,1
28.99,97.99,170,2
17.03,86.03,66,1
14.57,83.57,2,0
17.63,86.63,35,1
29.0,98.0,171,2
14.38,83.38,74,0
16.03,85.03,57,1
20.22,89.22,126,1
12.58,81.58,76,0
23.62,92.62,130,2
29.18,98.18,189,2
17.6,86.6,32,1
15.85,84.85,39,1
23.61,92.61,200,2
28.55,97.55,197,2
17.14,86.14,77,1
11.49,80.49,58,0
25.59,94.59,185,2
22.01,91.01,115,1
22.43,91.43,119,1
26.27,95.27,182,2
16.78,85.78,41,1
13.88,82.88,24,0
16.14,85.14,68,1
15.4,84.4,85,1
21.91,90.91,105,1
14.79,83.79,24,0
14.84,83.84,29,0
14.18,83.18,54,0
20.48,89.48,114,1
25.43,94.43,169,2
17.76,86.76,48,1
28.69,97.69,140,2
27.79,96.79,192,2
16.7,85.7,33,1
11.21,80.21,30,0
22.02,91.02,116,1
16.15,85.15,69,1
23.28,92.28,167,2
27.97,96.97,139,2
16.37,85.37,0,1
11.04,80.04,13,0
28.93,97.93,164,2
12.14,81.14,32,0
24.11,93.11,179,2
26.65,95.65,149,2
17.84,86.84,56,1
19.84,88.84,126,1
14.87,83.87,32,0
25.15,94.15,141,2
17.28,86.28,0,1
13.89,82.89,25,0
27.23,96.23,136,2
29.57,98.57,157,2
26.84,95.84,168,2
20.17,89.17,121,1
10.89,79.89,89,0
12.21,81.21,39,0
26.16,95.16,171,2
10.93,79.93,2,0
15.64,84.64,18,1
21.11,90.11,101,1
12.35,81.35,53,0
21.38,90.38,128,1
16.69,85.69,32,1
21.05,90.05,95,1
25.72,94.72,198,2
13.06,82.06,33,0
25.14,94.14,140,2
21.94,90.94,108,1
25.4,94.4,166,2
26.58,95.58,142,2
25.28,94.28,154,2
17.66,86.66,38,1
16.32,85.32,86,1
29.66,98.66,166,2
12.47,81.47,65,0
13.05,82.05,32,0
25.89,94.89,144,2
19.49,88.49,129,1
24.43,93.43,140,2
18.66,87.66,47,1
24.37,93.37,134,2
23.08,92.08,147,2
10.57,79.57,57,0
19.46,88.46,126,1
13.07,82.07,34,0
16.17,85.17,71,1
15.04,84.04,49,1
27.44,96.44,157,2
22.26,91.26,102,1
11.53,80.53,62,0
20.79,89.79,107,1
19.54,88.54,96,1
27.56,96.56,169,2
24.67,93.67,164,2
29.33,98.33,133,2
16.05,85.05,59,1
17.16,86.16,79,1
24.07,93.07,175,2
29.09,98.09,180,2
29.47,98.47,147,2
15.82,84.82,36,1
23.41,92.41,180,2
21.58,90.58,110,1
12.91,81.91,18,0
29.24,98.24,195,2
16.47,85.47,10,1
21.04,90.04,94,1
26.37,95.37,192,2
15.86,84.86,40,1
19.29,88.29,109,1
18.68,87.68,49,1
27.54,96.54,167,2
28.47,97.47,189,2
27.47,96.47,160,2
26.08,95.08,163,2
13.48,82.48,75,0
27.52,96.52,165,2
25.08,94.08,134,2
17.11,86.11,74,1
20.3,89.3,96,1
16.46,85.46,9,1
17.64,86.64,36,1
24.97,93.97,194,2
27.02,96.02,186,2
24.4,93.4,137,2
20.43,89.43,109,1
12.09,81.09,27,0
23.93,92.93,161,2
14.1,83.1,46,0
15.92,84.92,46,1
10.27,79.27,27,0
15.47,84.47,1,1
14.4,83.4,76,0
20.99,89.99,127,1
26.82,95.82,166,2
18.99,87.99,80,1
23.35,92.35,174,2
16.66,85.66,29,1
25.34,94.34,160,2
13.15,82.15,42,0
20.06,89.06,110,1
22.56,91.56,102,1
21.45,90.45,97,1
28.81,97.81,152,2
21.32,90.32,122,1
14.71,83.71,16,0
20.5,89.5,116,1
15.77,84.77,31,1
20.42,89.42,108,1
22.77,91.77,123,1
21.98,90.98,112,1
11.46,80.46,55,0
16.43,85.43,6,1
17.58,86.58,30,1
10.11,79.11,11,0
28.52,97.52,194,2
12.43,81.43,61,0
14.04,83.04,40,0
25.75,94.75,130,2
14.81,83.81,26,0
13.19,82.19,46,0
26.71,95.71,155,2
22.41,91.41,117,1
13.55,82.55,82,0
23.47,92.47,186,2
16.73,85.73,36,1
15.03,84.03,48,1
24.6,93.6,157,2
14.91,83.91,36,0
13.91,82.91,27,0
14.69,83.69,14,0
17.99,86.99,71,1
25.99,94.99,154,2
10.46,79.46,46,0
22.6,91.6,106,1
15.67,84.67,21,1
25.32,94.32,158,2
29.25,98.25,196,2
19.28,88.28,108,1
11.87,80.87,5,0
20.33,89.33,99,1
18.04,87.04,76,1
11.0,80.0,9,0
22.85,91.85,123,1
26.47,95.47,131,2
24.57,93.57,154,2
19.0,88.0,81,1
12.11,81.11,29,0
24.21,93.21,189,2
18.92,87.92,73,1
22.72,91.72,118,1
29.84,98.84,184,2
11.64,80.64,73,0
22.33,91.33,109,1
14.73,83.73,18,0
17.75,86.75,47,1
27.28,96.28,141,2
22.2,91.2,96,1
11.51,80.51,60,0
21.89,90.89,103,1
17.82,86.82,54,1
15.48,84.48,2,1
25.07,94.07,133,2
24.77,93.77,174,2
14.78,83.78,23,0
12.07,81.07,25,0
13.8,82.8,16,0
27.53,96.53,166,2
20.44,89.44,110,1
19.78,88.78,120,1
22.61,91.61,107,1
20.86,89.86,114,1
24.54,93.54,151,2
13.83,82.83,19,0
13.23,82.23,50,0
10.48,79.48,48,0
20.54,89.54,120,1
22.65,91.65,111,1
21.15,90.15,105,1
29.15,98.15,186,2
18.73,87.73,54,1
18.6,87.6,41,1
28.13,97.13,155,2
15.28,84.28,73,1
25.53,94.53,179,2
13.95,82.95,31,0
20.82,89.82,110,1
10.56,79.56,56,0
25.76,94.76,131,2
28.53,97.53,195,2
12.44,81.44,62,0
12.26,81.26,44,0
21.4,90.4,92,1
15.54,84.54,8,1
22.48,91.48,124,1
21.92,90.92,106,1
28.23,97.23,165,2
18.88,87.88,69,1
11.83,80.83,1,0
26.52,95.52,136,2
11.37,80.37,46,0
29.69,98.69,169,2
14.76,83.76,21,0
13.46,82.46,73,0
10.03,79.03,3,0
20.45,89.45,111,1
20.74,89.74,102,1
27.42,96.42,155,2
21.33,90.33,123,1
27.25,96.25,138,2
20.37,89.37,103,1
23.09,92.09,148,2
17.45,86.45,17,1
18.81,87.81,62,1
27.05,96.05,189,2
13.77,82.77,13,0
11.63,80.63,72,0
25.3,94.3,156,2
14.43,83.43,79,0
27.34,96.34,147,2
19.42,88.42,122,1
12.29,81.29,47,0
26.8,95.8,164,2
24.35,93.35,132,2
21.48,90.48,100,1
25.49,94.49,175,2
21.74,90.74,126,1
21.76,90.76,128,1
28.74,97.74,145,2
18.51,87.51,32,1
13.53,82.53,80,0
11.55,80.55,64,0
26.26,95.26,181,2
16.53,85.53,16,1
23.86,92.86,154,2
22.0,91.0,114,1
16.93,85.93,56,1
24.53,93.53,150,2
16.54,85.54,17,1
12.32,81.32,50,0
16.2,85.2,74,1
26.76,95.76,160,2
12.83,81.83,10,0
15.15,84.15,60,1
28.65,97.65,136,2
27.66,96.66,179,2
14.02,83.02,38,0
23.05,92.05,144,2
18.95,87.95,76,1
28.91,97.91,162,2
16.63,85.63,26,1
18.57,87.57,38,1
16.0,85.0,54,1
25.57,94.57,183,2
12.74,81.74,1,0
27.67,96.67,180,2
15.95,84.95,49,1
12.79,81.79,6,0
26.44,95.44,199,2
27.81,96.81,194,2
15.56,84.56,10,1
24.27,93.27,195,2
29.88,98.88,188,2
11.59,80.59,68,0
15.89,84.89,43,1
24.69,93.69,166,2
12.63,81.63,81,0
10.88,79.88,88,0
14.0,83.0,36,0
16.02,85.02,56,1
10.5,79.5,50,0
22.75,91.75,121,1
24.95,93.95,192,2
17.07,86.07,70,1
20.49,89.49,115,1
24.58,93.58,155,2
16.52,85.52,15,1
17.37,86.37,9,1
21.88,90.88,102,1
12.95,81.95,22,0
16.12,85.12,66,1
21.72,90.72,124,1
23.3,92.3,169,2
28.71,97.71,142,2
24.44,93.44,141,2
25.95,94.95,150,2
10.15,79.15,15,0
13.94,82.94,30,0
19.44,88.44,124,1
24.93,93.93,190,2
12.46,81.46,64,0
10.95,79.95,4,0
28.97,97.97,168,2
29.8,98.8,180,2
28.27,97.27,169,2
21.67,90.67,119,1
27.14,96.14,198,2
29.61,98.61,161,2
29.49,98.49,149,2
13.4,82.4,67,0
22.88,91.88,126,1
18.67,87.67,48,1
14.26,83.26,62,0
14.9,83.9,35,0
28.67,97.67,138,2
28.01,97.01,143,2
13.09,82.09,36,0
22.64,91.64,110,1
17.06,86.06,69,1
15.27,84.27,72,1
27.38,96.38,151,2
27.86,96.86,199,2
28.54,97.54,196,2
10.9,79.9,90,0
21.95,90.95,109,1
19.06,88.06,87,1
29.03,98.03,174,2
28.11,97.11,153,2
22.83,91.83,129,1
23.83,92.83,151,2
16.87,85.87,50,1
19.27,88.27,107,1
14.88,83.88,33,0
12.85,81.85,12,0
26.81,95.81,165,2
25.63,94.63,189,2
12.39,81.39,57,0
18.59,87.59,40,1
14.5,83.5,86,0
18.37,87.37,18,1
27.99,96.99,141,2
26.21,95.21,176,2
10.61,79.61,61,0
18.78,87.78,59,1
19.95,88.95,99,1
19.24,88.24,104,1
23.92,92.92,160,2
28.94,97.94,165,2
21.47,90.47,99,1
19.99,88.99,103,1
29.13,98.13,184,2
13.21,82.21,48,0
27.71,96.71,184,2
22.35,91.35,111,1
28.45,97.45,187,2
10.1,79.1,10,0
27.43,96.43,156,2
17.15,86.15,78,1
12.12,81.12,30,0
16.06,85.06,60,1
17.78,86.78,50,1
22.13,91.13,127,1
26.79,95.79,163,2
14.66,83.66,11,0
14.33,83.33,69,0
24.17,93.17,185,2
25.27,94.27,153,2
16.65,85.65,28,1
15.76,84.76,30,1
25.44,94.44,170,2
24.14,93.14,182,2
22.15,91.15,129,1
23.72,92.72,140,2
23.51,92.51,190,2
10.7,79.7,70,0
27.59,96.59,172,2
23.27,92.27,166,2
14.05,83.05,41,0
27.89,96.89,131,2
16.23,85.23,77,1
23.73,92.73,141,2
17.52,86.52,24,1
22.17,91.17,93,1
28.37,97.37,179,2
20.62,89.62,128,1
17.68,86.68,40,1
19.48,88.48,128,1
17.44,86.44,16,1
28.75,97.75,146,2
26.66,95.66,150,2
11.76,80.76,85,0
25.9,94.9,145,2
20.11,89.11,115,1
10.64,79.64,64,0
22.06,91.06,120,1
13.79,82.79,15,0
27.08,96.08,192,2
29.22,98.22,193,2
15.44,84.44,89,1
15.06,84.06,51,1
21.25,90.25,115,1
19.01,88.01,82,1
13.29,82.29,56,0
21.13,90.13,103,1
18.31,87.31,12,1
15.3,84.3,75,1
29.62,98.62,162,2
22.76,91.76,122,1
29.02,98.02,173,2
28.0,97.0,142,2
29.98,98.98,198,2
19.72,88.72,114,1
26.0,95.0,155,2
29.44,98.44,144,2
17.95,86.95,67,1
16.45,85.45,8,1
16.33,85.33,87,1
12.77,81.77,4,0
16.01,85.01,55,1
13.27,82.27,54,0
20.24,89.24,128,1
12.49,81.49,67,0
25.78,94.78,133,2
10.25,79.25,25,0
10.05,79.05,5,0
26.46,95.46,130,2
11.89,80.89,7,0
26.72,95.72,156,2
17.7,86.7,42,1
15.74,84.74,28,1
11.22,80.22,31,0
19.13,88.13,93,1
16.91,85.91,54,1
23.45,92.45,184,2
11.47,80.47,56,0
25.31,94.31,157,2
13.75,82.75,11,0
28.06,97.06,148,2
29.05,98.05,176,2
21.01,90.01,129,1
25.87,94.87,142,2
21.51,90.51,103,1
19.65,88.65,107,1
17.55,86.55,27,1
19.22,88.22,102,1
19.47,88.47,127,1
16.88,85.88,51,1
15.17,84.17,62,1
25.94,94.94,149,2
29.65,98.65,165,2
16.18,85.18,72,1
14.58,83.58,3,0
11.13,80.13,22,0
24.83,93.83,180,2
16.72,85.72,35,1
17.79,86.79,51,1
25.73,94.73,199,2
18.63,87.63,44,1
28.41,97.41,183,2
12.56,81.56,74,0
11.52,80.52,61,0
10.13,79.13,13,0
24.87,93.87,184,2
23.23,92.23,162,2
15.75,84.75,29,1
24.61,93.61,158,2
14.95,83.95,40,0
21.87,90.87,101,1
17.94,86.94,66,1
15.49,84.49,3,1
22.29,91.29,105,1
11.67,80.67,76,0
11.18,80.18,27,0
25.93,94.93,148,2
21.79,90.79,93,1
26.22,95.22,177,2
21.29,90.29,119,1
11.74,80.74,83,0
15.79,84.79,33,1
22.37,91.37,113,1
10.78,79.78,78,0
16.42,85.42,5,1
15.65,84.65,19,1
14.83,83.83,28,0
16.9,85.9,53,1
20.73,89.73,101,1
18.06,87.06,78,1
17.32,86.32,4,1
29.91,98.91,191,2
15.8,84.8,34,1
29.52,98.52,152,2
15.81,84.81,35,1
16.89,85.89,52,1
12.45,81.45,63,0
13.7,82.7,6,0
13.81,82.81,17,0
29.75,98.75,175,2
25.85,94.85,140,2
27.96,96.96,138,2
12.08,81.08,26,0
19.77,88.77,119,1
25.74,94.74,200,2
22.03,91.03,117,1
21.52,90.52,104,1
23.22,92.22,161,2
10.34,79.34,34,0
27.13,96.13,197,2
24.91,93.91,188,2
12.7,81.7,88,0
24.36,93.36,133,2
11.19,80.19,28,0
29.79,98.79,179,2
27.22,96.22,135,2
28.78,97.78,149,2
25.62,94.62,188,2
24.38,93.38,135,2
20.94,89.94,122,1
12.36,81.36,54,0
24.22,93.22,190,2
24.08,93.08,176,2
26.67,95.67,151,2
18.02,87.02,74,1
24.16,93.16,184,2
26.89,95.89,173,2
16.27,85.27,81,1
10.92,79.92,1,0
25.48,94.48,174,2
11.77,80.77,86,0
27.78,96.78,191,2
10.72,79.72,72,0
13.66,82.66,2,0
26.17,95.17,172,2
28.87,97.87,158,2
24.64,93.64,161,2
27.31,96.31,144,2
25.61,94.61,187,2
26.62,95.62,146,2
19.58,88.58,100,1
22.21,91.21,97,1
10.53,79.53,53,0
18.26,87.26,7,1
22.81,91.81,127,1
11.2,80.2,29,0
29.94,98.94,194,2
26.28,95.28,183,2
25.11,94.11,137,2
21.18,90.18,108,1
11.91,80.91,9,0
24.05,93.05,173,2
10.54,79.54,54,0
13.39,82.39,66,0
19.23,88.23,103,1
10.65,79.65,65,0
13.36,82.36,63,0
26.92,95.92,176,2
25.1,94.1,136,2
27.09,96.09,193,2
14.55,83.55,0,0
17.89,86.89,61,1
20.53,89.53,119,1
14.08,83.08,44,0
27.0,96.0,184,2
16.79,85.79,42,1
11.7,80.7,79,0
17.48,86.48,20,1
14.15,83.15,51,0
13.42,82.42,69,0
17.2,86.2,83,1
13.84,82.84,20,0
28.14,97.14,156,2
14.48,83.48,84,0
14.24,83.24,60,0
26.02,95.02,157,2
19.21,88.21,101,1
23.44,92.44,183,2
26.7,95.7,154,2
21.37,90.37,127,1
26.64,95.64,148,2
28.02,97.02,144,2
17.43,86.43,15,1
10.74,79.74,74,0
26.14,95.14,169,2
13.54,82.54,81,0
19.62,88.62,104,1
23.14,92.14,153,2
21.93,90.93,107,1
12.78,81.78,5,0
27.16,96.16,200,2
20.89,89.89,117,1
26.15,95.15,170,2
27.01,96.01,185,2
17.02,86.02,65,1
16.25,85.25,79,1
15.14,84.14,59,1
21.07,90.07,97,1
27.27,96.27,140,2
14.16,83.16,52,0
16.04,85.04,58,1
17.27,86.27,90,1
29.78,98.78,178,2
29.26,98.26,197,2
24.76,93.76,173,2
13.58,82.58,85,0
25.67,94.67,193,2
17.91,86.91,63,1
25.51,94.51,177,2
11.9,80.9,8,0
11.01,80.01,10,0
21.16,90.16,106,1
26.18,95.18,173,2
20.57,89.57,123,1
28.38,97.38,180,2
26.25,95.25,180,2
15.01,84.01,46,1
19.16,88.16,96,1
15.5,84.5,4,1
28.86,97.86,157,2
15.34,84.34,79,1
19.14,88.14,94,1
26.85,95.85,169,2
18.41,87.41,22,1
19.38,88.38,118,1
16.85,85.85,48,1
23.1,92.1,149,2
20.2,89.2,124,1
28.51,97.51,193,2
25.38,94.38,164,2
16.5,85.5,13,1
26.09,95.09,164,2
17.13,86.13,76,1
23.56,92.56,195,2
15.63,84.63,17,1
10.06,79.06,6,0
29.12,98.12,183,2
24.63,93.63,160,2
10.2,79.2,20,0
19.35,88.35,115,1
14.14,83.14,50,0
12.66,81.66,84,0
20.14,89.14,118,1
20.47,89.47,113,1
26.91,95.91,175,2
20.96,89.96,124,1
16.39,85.39,2,1
10.55,79.55,55,0
15.32,84.32,77,1
20.77,89.77,105,1
21.54,90.54,106,1
18.9,87.9,71,1
14.12,83.12,48,0
12.1,81.1,28,0
26.48,95.48,132,2
25.29,94.29,155,2
15.05,84.05,50,1
22.73,91.73,119,1
27.46,96.46,159,2
23.29,92.29,168,2
25.09,94.09,135,2
15.16,84.16,61,1
18.34,87.34,15,1
25.06,94.06,132,2
22.91,91.91,130,2
12.53,81.53,71,0
17.23,86.23,86,1
20.32,89.32,98,1
20.81,89.81,109,1
22.05,91.05,119,1
23.6,92.6,199,2
20.66,89.66,94,1
27.3,96.3,143,2
24.73,93.73,170,2
18.97,87.97,78,1
18.83,87.83,64,1
14.63,83.63,8,0
12.31,81.31,49,0
11.68,80.68,77,0
12.38,81.38,56,0
29.27,98.27,198,2
23.5,92.5,189,2
12.89,81.89,16,0
20.29,89.29,95,1
26.12,95.12,167,2
11.86,80.86,4,0
18.01,87.01,73,1
10.41,79.41,41,0
18.05,87.05,77,1
10.14,79.14,14,0
20.36,89.36,102,1
27.85,96.85,198,2
25.39,94.39,165,2
19.04,88.04,85,1
29.77,98.77,177,2
10.09,79.09,9,0
15.18,84.18,63,1
12.55,81.55,73,0
21.44,90.44,96,1
22.32,91.32,108,1
17.59,86.59,31,1
29.71,98.71,171,2
17.56,86.56,28,1
24.81,93.81,178,2
26.36,95.36,191,2
20.64,89.64,92,1
14.11,83.11,47,0
29.19,98.19,190,2
13.18,82.18,45,0
23.55,92.55,194,2
24.09,93.09,177,2
12.19,81.19,37,0
26.57,95.57,141,2
12.15,81.15,33,0
10.69,79.69,69,0
28.82,97.82,153,2
15.23,84.23,68,1
25.47,94.47,173,2
23.01,92.01,140,2
17.54,86.54,26,1
24.48,93.48,145,2
16.74,85.74,37,1
27.92,96.92,134,2
10.19,79.19,19,0
21.42,90.42,94,1
26.69,95.69,153,2
17.22,86.22,85,1
26.05,95.05,160,2
26.95,95.95,179,2
15.57,84.57,11,1
17.61,86.61,33,1
17.09,86.09,72,1
13.37,82.37,64,0
21.61,90.61,113,1
27.48,96.48,161,2
22.54,91.54,100,1
19.87,88.87,129,1
25.0,94.0,197,2
23.48,92.48,187,2
29.28,98.28,199,2
14.68,83.68,13,0
20.39,89.39,105,1
25.19,94.19,145,2
16.57,85.57,20,1
11.65,80.65,74,0
14.06,83.06,42,0
23.02,92.02,141,2
28.61,97.61,132,2
19.08,88.08,89,1
25.23,94.23,149,2
10.21,79.21,21,0
16.49,85.49,12,1
29.23,98.23,194,2
10.04,79.04,4,0
13.93,82.93,29,0
10.68,79.68,68,0
28.39,97.39,181,2
14.8,83.8,25,0
10.91,79.91,0,0
19.71,88.71,113,1
18.19,87.19,0,1
21.27,90.27,117,1
19.07,88.07,88,1
18.52,87.52,33,1
29.86,98.86,186,2
29.38,98.38,138,2
27.51,96.51,164,2
23.39,92.39,178,2
15.91,84.91,45,1
10.43,79.43,43,0
23.34,92.34,173,2
24.7,93.7,167,2
28.36,97.36,178,2
16.28,85.28,82,1
26.87,95.87,171,2
22.23,91.23,99,1
18.55,87.55,36,1
21.83,90.83,97,1
22.62,91.62,108,1
12.73,81.73,0,0
18.27,87.27,8,1
14.23,83.23,59,0
23.99,92.99,167,2
10.36,79.36,36,0
18.32,87.32,13,1
15.45,84.45,90,1
15.68,84.68,22,1
22.52,91.52,128,1
15.12,84.12,57,1
25.7,94.7,196,2
12.98,81.98,25,0
16.38,85.38,1,1
25.45,94.45,171,2
28.76,97.76,147,2
28.88,97.88,159,2
14.13,83.13,49,0
16.21,85.21,75,1
27.03,96.03,187,2
13.32,82.32,59,0
29.06,98.06,177,2
11.03,80.03,12,0
14.28,83.28,64,0
17.62,86.62,34,1
21.8,90.8,94,1
14.72,83.72,17,0
21.0,90.0,128,1
29.76,98.76,176,2
17.87,86.87,59,1
14.64,83.64,9,0
18.65,87.65,46,1
10.07,79.07,7,0
15.33,84.33,78,1
14.29,83.29,65,0
28.96,97.96,167,2
23.21,92.21,160,2
23.46,92.46,185,2
10.23,79.23,23,0
17.47,86.47,19,1
11.98,80.98,16,0
29.56,98.56,156,2
14.27,83.27,63,0
22.66,91.66,112,1
27.75,96.75,188,2
13.68,82.68,4,0
12.25,81.25,43,0
15.37,84.37,82,1
27.69,96.69,182,2
18.22,87.22,3,1
21.53,90.53,105,1
14.67,83.67,12,0
15.1,84.1,55,1
27.82,96.82,195,2
28.79,97.79,150,2
11.94,80.94,12,0
20.25,89.25,129,1
22.34,91.34,110,1
14.6,83.6,5,0
15.02,84.02,47,1
11.45,80.45,54,0
11.36,80.36,45,0
29.07,98.07,178,2
17.4,86.4,12,1
17.83,86.83,55,1
14.36,83.36,72,0
24.98,93.98,195,2
22.12,91.12,126,1
17.46,86.46,18,1
24.26,93.26,194,2
27.15,96.15,199,2
12.67,81.67,85,0
10.44,79.44,44,0
19.5,88.5,92,1
20.9,89.9,118,1
23.54,92.54,193,2
11.27,80.27,36,0
22.18,91.18,94,1
24.8,93.8,177,2
11.72,80.72,81,0
14.45,83.45,81,0
25.81,94.81,136,2
10.96,79.96,5,0
26.9,95.9,174,2
13.25,82.25,52,0
11.35,80.35,44,0
16.62,85.62,25,1
23.71,92.71,139,2
14.03,83.03,39,0
24.84,93.84,181,2
24.79,93.79,176,2
11.05,80.05,14,0
11.92,80.92,10,0
24.96,93.96,193,2
12.9,81.9,17,0
15.29,84.29,74,1
22.97,91.97,136,2
25.35,94.35,161,2
24.34,93.34,131,2
28.68,97.68,139,2
16.48,85.48,11,1
15.19,84.19,64,1
11.16,80.16,25,0
17.12,86.12,75,1
28.58,97.58,200,2
18.42,87.42,23,1
14.17,83.17,53,0
12.82,81.82,9,0
19.67,88.67,109,1
13.86,82.86,22,0
22.84,91.84,122,1
20.6,89.6,126,1
11.17,80.17,26,0
10.49,79.49,49,0
20.8,89.8,108,1
18.15,87.15,87,1
26.45,95.45,200,2
20.38,89.38,104,1
22.4,91.4,116,1
10.01,79.01,1,0
29.04,98.04,175,2
21.71,90.71,123,1
15.94,84.94,48,1
27.5,96.5,163,2
23.04,92.04,143,2
23.87,92.87,155,2
24.89,93.89,186,2
21.59,90.59,111,1
14.22,83.22,58,0
20.97,89.97,125,1
