workout_frequency_week,avg_session_duration,avg_intensity,sleep_avg_7d,previous_injuries_count,age,experience_level,recovery_score_avg,injury_risk
4,110.4,7.967032967032966,7.7,1,52,3,86.77777777777777,1
3,84.6,8.596491228070175,8.4,3,46,1,91.66666666666666,1
3,72.0,8.160919540229886,8.1,3,25,1,94.0,1
4,62.400000000000006,7.409638554216867,7.1,2,41,2,80.44444444444444,1
4,64.80000000000001,7.886597938144329,6.5,0,45,2,77.11111111111111,1
2,40.800000000000004,7.5,7.2,0,28,1,83.0,1
5,118.2,7.853107344632768,6.0,1,41,3,71.33333333333333,2
5,108.60000000000001,8.524590163934425,7.3,3,48,3,85.55555555555556,1
4,76.8,8.5625,5.9,2,54,2,76.77777777777777,1
3,84.0,7.526881720430108,8.0,2,33,2,85.44444444444444,1
4,117.0,6.894736842105264,8.1,0,47,3,94.0,1
3,86.39999999999999,9.464285714285714,7.7,3,47,2,89.77777777777777,1
4,116.39999999999999,7.23404255319149,7.1,3,25,3,77.44444444444444,2
2,55.800000000000004,7.062146892655368,7.1,3,26,1,79.44444444444444,1
4,65.4,7.590361445783133,6.5,0,41,2,84.11111111111111,1
3,88.8,7.151162790697675,7.5,1,29,1,81.66666666666667,1
3,61.800000000000004,9.875,7.4,3,49,2,79.11111111111111,1
3,81.0,8.983957219251337,6.5,1,59,2,74.11111111111111,1
4,94.80000000000001,8.75,7.8,3,58,3,82.33333333333334,1
3,71.39999999999999,6.853932584269663,6.1,0,55,2,73.88888888888889,1
4,90.0,7.257142857142858,6.3,2,19,2,75.0,2
2,60.6,7.5925925925925934,7.6,0,37,1,82.22222222222223,1
3,82.2,6.6839378238341975,7.2,3,36,1,87.0,1
3,60.0,6.5482233502538065,7.2,3,56,2,88.0,0
2,51.0,8.47457627118644,6.3,0,33,1,76.0,1
3,82.8,7.354497354497354,7.7,3,51,2,85.77777777777777,1
2,82.8,9.428571428571429,6.7,3,54,1,83.22222222222223,1
4,76.2,7.393617021276596,6.7,2,52,2,78.22222222222223,1
3,46.2,9.277777777777779,8.4,0,55,1,84.66666666666666,1
2,77.4,9.822485207100591,8.3,0,24,1,94.11111111111111,1
4,101.39999999999999,8.722222222222221,7.7,3,56,3,90.77777777777777,1
3,85.19999999999999,9.337016574585634,8.0,2,47,1,85.44444444444444,1
5,91.2,7.305699481865285,6.5,2,53,3,83.11111111111111,1
4,71.39999999999999,9.064327485380117,6.3,1,54,2,78.0,1
4,69.6,7.687861271676301,6.5,0,50,2,74.11111111111111,1
3,76.2,6.0606060606060606,6.5,2,40,2,77.11111111111111,1
4,99.6,8.0,7.8,3,19,3,93.33333333333334,1
4,72.0,9.329608938547485,6.5,3,55,2,81.11111111111111,1
4,67.2,9.767441860465116,7.2,3,20,2,85.0,1
4,62.400000000000006,8.214285714285714,8.4,3,25,2,93.66666666666666,1
2,50.4,6.269430051813472,6.1,0,35,1,81.88888888888889,1
3,67.8,7.0879120879120885,7.7,0,26,1,84.77777777777777,1
3,88.8,7.151162790697675,7.8,0,29,1,83.33333333333334,1
4,103.2,8.633540372670808,7.5,2,18,3,81.66666666666667,1
4,78.0,8.435754189944134,7.3,0,46,2,86.55555555555556,1
3,64.2,10.0,7.6,1,20,2,84.22222222222223,1
5,101.39999999999999,8.156424581005586,8.3,0,20,3,93.11111111111111,1
3,46.2,9.277777777777779,6.8,3,55,1,75.77777777777777,1
5,103.2,6.185567010309279,6.0,3,59,3,74.33333333333333,2
3,87.0,7.461139896373057,8.0,3,33,2,82.44444444444444,1
5,103.2,7.906976744186046,7.2,1,20,3,86.0,1
4,102.6,7.287234042553191,6.0,1,20,3,82.33333333333333,1
3,82.8,6.721311475409836,6.0,0,22,1,80.33333333333333,1
3,46.2,10.0,7.3,0,55,1,85.55555555555556,1
5,117.6,8.37696335078534,6.4,0,39,3,75.55555555555556,2
5,119.4,8.28125,6.1,3,28,3,78.88888888888889,2
4,85.19999999999999,8.580246913580247,6.0,3,22,2,74.33333333333333,2
3,46.2,10.0,7.8,2,55,1,88.33333333333334,0
5,91.2,7.305699481865285,7.5,3,53,3,88.66666666666667,1
2,44.4,6.532663316582915,7.6,2,38,1,83.22222222222223,1
2,76.8,8.256410256410255,6.5,2,19,1,76.11111111111111,1
5,116.39999999999999,6.632124352331607,7.2,3,28,3,84.0,1
4,94.2,8.362573099415204,6.3,0,58,3,78.0,2
4,75.6,9.171270718232044,7.3,3,30,2,86.55555555555556,1
5,99.0,9.0625,6.6,0,29,3,74.66666666666666,2
2,43.199999999999996,9.876543209876543,6.0,3,39,1,80.33333333333333,1
3,64.80000000000001,8.061224489795919,7.7,0,55,1,89.77777777777777,0
4,109.80000000000001,7.3053892215568865,6.5,2,42,3,76.11111111111111,2
4,82.2,7.351351351351352,6.6,2,47,2,83.66666666666666,1
3,85.8,8.353658536585366,6.0,2,46,2,79.33333333333333,1
5,112.2,7.664670658682635,7.8,3,41,3,90.33333333333334,1
2,48.6,8.241206030150753,8.0,3,34,1,88.44444444444444,0
2,33.0,7.976878612716764,6.4,2,21,1,76.55555555555556,1
4,66.60000000000001,7.3053892215568865,6.6,3,32,2,78.66666666666666,1
4,73.8,8.418367346938776,6.2,2,56,2,74.44444444444444,1
4,75.6,8.516483516483516,7.9,1,56,2,88.88888888888889,1
4,62.400000000000006,7.409638554216867,8.0,2,41,2,85.44444444444444,1
4,84.6,7.831325301204819,8.5,1,30,2,97.22222222222223,1
4,72.6,7.888888888888888,7.7,1,38,2,83.77777777777777,1
4,94.80000000000001,8.75,7.2,1,58,3,79.0,2
4,67.2,8.24561403508772,7.1,2,53,2,81.44444444444444,1
5,103.2,6.185567010309279,6.0,2,59,3,74.33333333333333,2
5,108.60000000000001,7.1875,7.1,2,34,3,86.44444444444444,1
4,77.4,7.604166666666666,6.1,3,49,2,74.88888888888889,1
5,92.4,7.98941798941799,8.2,0,42,3,92.55555555555554,1
3,50.4,7.305699481865285,7.2,3,36,1,84.0,1
5,112.2,7.664670658682635,7.3,3,41,3,87.55555555555556,1
2,88.8,7.788944723618091,6.6,2,50,1,84.66666666666666,1
3,57.0,9.523809523809524,6.0,1,45,1,74.33333333333333,1
2,64.80000000000001,6.892655367231638,8.3,2,20,1,89.11111111111111,0
4,71.39999999999999,6.153846153846154,6.6,3,27,2,84.66666666666666,1
3,84.0,7.808988764044944,6.0,0,51,1,75.33333333333333,1
5,107.4,7.637362637362637,7.8,3,50,3,81.33333333333334,1
3,64.80000000000001,7.216494845360825,7.1,3,30,2,87.44444444444444,0
4,61.2,9.878048780487806,7.6,0,30,2,84.22222222222223,1
3,64.80000000000001,8.04733727810651,7.7,3,28,1,90.77777777777777,0
2,62.400000000000006,8.39572192513369,6.5,2,24,1,80.11111111111111,1
2,39.6,6.331658291457286,6.1,2,56,1,77.88888888888889,1
2,52.2,6.464646464646465,8.4,1,40,1,88.66666666666666,0
3,73.2,9.254658385093167,7.2,1,41,2,78.0,1
4,120.0,9.322033898305085,8.5,0,47,3,85.22222222222223,1
2,60.6,9.281767955801104,6.9,1,58,1,80.33333333333334,1
4,91.2,8.61111111111111,7.7,0,46,3,83.77777777777777,1
4,109.80000000000001,7.142857142857143,7.8,3,46,3,93.33333333333334,1
4,112.8,7.02020202020202,7.8,2,26,3,89.33333333333334,1
3,79.80000000000001,9.506172839506172,6.1,0,39,2,74.88888888888889,1
3,81.60000000000001,8.092485549132949,7.7,3,47,1,80.77777777777777,1
3,82.2,7.759562841530054,7.1,3,42,1,77.44444444444444,1
3,82.2,8.125,6.1,1,23,2,80.88888888888889,1
2,46.2,6.703296703296703,6.6,2,50,1,81.66666666666666,1
2,90.0,9.404761904761905,6.0,3,37,1,71.33333333333333,2
2,48.6,7.380952380952381,7.1,1,50,1,77.44444444444444,1
3,46.2,10.0,7.2,0,55,1,85.0,1
4,73.2,7.593582887700535,8.0,0,43,2,82.44444444444444,1
5,108.60000000000001,8.633879781420765,7.8,3,37,3,86.33333333333334,1
4,84.6,8.61111111111111,8.2,3,54,2,85.55555555555554,1
3,66.0,9.171597633136095,6.0,3,56,2,74.33333333333333,1
4,61.2,7.445652173913043,7.2,2,31,2,81.0,1
3,79.2,9.580838323353294,7.2,3,26,1,90.0,1
3,66.0,7.602339181286549,7.9,2,49,1,85.88888888888889,1
2,66.60000000000001,6.596858638743456,6.1,1,18,1,76.88888888888889,1
3,67.8,8.121212121212121,6.0,1,57,1,79.33333333333333,1
4,79.80000000000001,6.557377049180327,5.9,2,28,2,76.77777777777777,1
3,80.4,9.75609756097561,8.5,3,53,2,87.22222222222223,1
4,69.6,7.687861271676301,7.9,2,50,2,81.88888888888889,1
4,66.60000000000001,7.3053892215568865,6.1,0,32,2,75.88888888888889,1
2,34.8,6.881720430107528,6.2,1,32,1,83.44444444444444,1
3,80.4,8.713450292397662,7.7,2,53,2,83.77777777777777,1
3,42.0,8.756756756756758,6.3,1,23,1,79.0,1
5,105.0,7.3770491803278695,7.7,2,27,3,80.77777777777777,1
2,70.19999999999999,8.609625668449198,6.0,1,50,1,75.33333333333333,1
3,65.4,7.625,6.5,2,43,1,74.11111111111111,1
3,31.200000000000003,7.23404255319149,7.2,1,42,1,84.0,1
3,62.400000000000006,8.47560975609756,6.1,1,22,1,72.88888888888889,1
3,63.0,9.021739130434783,6.1,3,28,2,76.88888888888889,1
3,34.199999999999996,7.704918032786885,7.1,3,31,1,81.44444444444444,1
4,61.800000000000004,7.222222222222222,8.4,2,35,2,87.66666666666666,1
4,83.39999999999999,9.212121212121213,7.8,3,20,2,92.33333333333334,1
2,32.400000000000006,7.528735632183908,8.4,2,37,1,92.66666666666666,0
4,81.0,8.242424242424242,7.3,0,39,2,86.55555555555556,1
3,46.2,10.0,6.0,3,55,1,78.33333333333333,1
2,54.6,8.012048192771084,7.8,0,40,1,89.33333333333334,0
5,100.19999999999999,7.621621621621621,6.0,3,23,3,79.33333333333333,2
3,42.0,6.546391752577319,6.1,3,49,1,72.88888888888889,1
3,85.19999999999999,7.796610169491526,5.9,1,24,2,78.77777777777777,1
4,88.2,8.421052631578947,8.2,1,25,2,85.55555555555554,1
3,73.2,7.727272727272727,6.6,2,51,2,77.66666666666666,1
2,42.599999999999994,7.4576271186440675,6.4,1,51,1,73.55555555555556,1
3,60.6,8.225806451612904,7.8,3,20,2,88.33333333333334,0
3,82.2,9.017341040462428,7.2,2,53,2,82.0,1
3,69.6,7.11864406779661,6.5,1,26,2,75.11111111111111,1
3,85.19999999999999,6.717948717948717,6.0,2,54,2,76.33333333333333,1
2,43.8,7.239583333333334,5.8,3,44,1,76.22222222222223,1
3,72.0,7.967914438502674,7.8,0,18,2,83.33333333333334,1
3,62.400000000000006,6.927374301675978,7.1,3,43,2,81.44444444444444,1
3,82.8,8.112244897959183,7.7,2,21,2,90.77777777777777,1
4,109.80000000000001,7.142857142857143,6.5,3,46,3,86.11111111111111,1
2,52.2,6.464646464646465,6.1,1,40,1,75.88888888888889,1
4,102.0,7.158469945355192,7.9,3,45,3,85.88888888888889,1
4,64.2,6.976744186046512,8.0,0,26,2,90.44444444444444,1
3,84.0,7.526881720430108,8.4,1,33,2,87.66666666666666,1
3,70.19999999999999,8.068181818181818,7.3,1,43,1,89.55555555555556,1
3,64.80000000000001,8.04733727810651,6.6,3,28,1,84.66666666666666,1
4,61.800000000000004,7.222222222222222,6.6,1,35,2,77.66666666666666,1
4,75.6,9.171270718232044,7.7,0,30,2,88.77777777777777,1
2,82.2,7.441860465116279,8.4,0,42,1,89.66666666666666,1
2,90.0,9.404761904761905,6.3,0,37,1,73.0,2
2,88.2,8.615384615384617,8.1,0,45,1,86.0,1
4,82.8,7.374301675977653,7.2,0,23,2,79.0,1
2,85.19999999999999,7.180851063829787,8.1,3,25,1,85.0,1
2,43.8,8.9375,7.6,2,50,1,88.22222222222223,0
2,51.0,6.576086956521739,7.8,1,36,1,91.33333333333334,0
4,61.800000000000004,7.514450867052023,7.8,0,55,2,88.33333333333334,1
2,48.6,8.241206030150753,7.4,1,34,1,85.11111111111111,1
2,43.8,7.239583333333334,7.8,3,44,1,87.33333333333334,0
3,84.0,9.135135135135135,6.3,0,46,1,84.0,1
3,42.0,8.756756756756758,7.3,3,23,1,84.55555555555556,1
5,105.0,7.3770491803278695,7.7,1,27,3,80.77777777777777,1
5,91.2,8.265895953757225,6.0,1,32,3,81.33333333333333,1
2,87.0,8.0,6.6,0,45,1,74.66666666666666,2
4,78.60000000000001,8.823529411764707,6.3,0,38,2,74.0,1
4,71.39999999999999,9.064327485380117,6.9,2,54,2,81.33333333333334,1
2,88.8,8.351063829787234,7.2,2,54,1,85.0,1
2,68.39999999999999,10.0,6.0,1,51,1,81.33333333333333,1
4,61.800000000000004,8.434343434343434,8.4,1,38,2,94.66666666666666,1
3,76.2,7.740112994350282,7.1,0,30,1,81.44444444444444,1
4,81.0,8.242424242424242,6.9,3,39,2,84.33333333333334,1
4,102.0,7.158469945355192,7.7,3,45,3,84.77777777777777,1
2,88.8,8.351063829787234,8.1,1,54,1,90.0,1
3,78.60000000000001,8.272251308900524,7.6,3,43,1,87.22222222222223,1
3,85.8,6.313131313131313,6.1,0,59,2,80.88888888888889,1
3,36.6,9.181286549707602,8.4,0,28,1,84.66666666666666,1
5,111.60000000000001,6.774193548387096,6.6,0,47,3,84.66666666666666,1
5,102.0,7.127071823204419,8.4,1,26,3,87.66666666666666,1
5,111.0,6.898395721925134,6.5,2,47,3,85.11111111111111,1
4,115.8,9.352941176470589,6.3,3,25,3,84.0,1
4,70.8,7.848837209302325,6.5,2,33,2,74.11111111111111,1
5,119.4,8.950276243093922,7.6,0,41,3,81.22222222222223,1
5,99.6,8.47715736040609,7.3,1,44,3,78.55555555555556,2
2,47.400000000000006,9.580838323353294,7.6,3,20,1,81.22222222222223,1
4,64.2,6.976744186046512,6.8,2,26,2,83.77777777777777,1
4,87.0,6.302083333333334,6.4,0,22,2,80.55555555555556,1
3,71.39999999999999,9.065934065934066,7.8,0,41,1,89.33333333333334,1
3,85.8,7.802197802197802,7.8,2,51,1,89.33333333333334,1
4,69.0,8.323353293413174,8.1,3,23,2,88.0,1
3,70.8,7.597765363128492,7.1,0,41,1,82.44444444444444,1
2,35.4,9.457831325301205,6.0,2,31,1,79.33333333333333,1
5,119.4,7.210526315789474,7.7,2,56,3,91.77777777777777,1
3,84.6,6.180904522613066,6.0,2,27,2,79.33333333333333,1
3,73.8,7.094972067039106,6.0,0,53,2,82.33333333333333,1
3,88.8,8.258426966292134,6.2,3,47,2,82.44444444444444,1
3,70.8,7.597765363128492,6.0,2,41,1,76.33333333333333,1
5,100.19999999999999,8.473684210526315,6.4,3,32,3,81.55555555555556,1
4,120.0,9.322033898305085,6.2,2,47,3,72.44444444444444,2
3,62.400000000000006,6.927374301675978,5.9,3,43,2,74.77777777777777,1
5,119.4,7.578947368421053,6.5,1,59,3,77.11111111111111,2
4,81.0,9.0,7.1,1,22,2,89.44444444444444,1
3,71.39999999999999,7.6020408163265305,8.1,3,48,2,93.0,1
4,81.60000000000001,7.034883720930233,7.7,2,48,2,91.77777777777777,1
3,67.8,6.722222222222223,8.4,1,25,1,86.66666666666666,1
3,53.4,7.923497267759563,6.9,2,50,1,76.33333333333334,1
3,70.8,9.028571428571428,8.0,0,28,1,88.44444444444444,1
3,88.8,8.756756756756758,6.1,2,46,2,79.88888888888889,1
3,65.4,7.625,7.7,0,43,1,80.77777777777777,1
3,74.4,8.461538461538462,8.5,2,57,2,96.22222222222223,1
3,56.4,7.127659574468085,8.4,1,18,1,91.66666666666666,0
4,112.8,7.02247191011236,6.0,1,39,3,77.33333333333333,2
5,118.2,7.853107344632768,8.5,1,41,3,85.22222222222223,1
3,82.8,8.351063829787234,7.6,1,40,1,90.22222222222223,1
2,57.599999999999994,7.297297297297297,6.0,2,34,1,73.33333333333333,1
3,79.2,9.580838323353294,7.6,0,26,1,92.22222222222223,1
3,76.8,9.760479041916168,8.3,2,20,2,86.11111111111111,1
3,72.6,6.302083333333334,7.2,2,37,2,80.0,1
3,64.2,7.760416666666666,8.4,0,42,1,84.66666666666666,1
4,64.2,8.121546961325967,8.1,3,33,2,91.0,1
2,76.8,6.684210526315789,7.3,1,43,1,83.55555555555556,1
5,91.2,7.914438502673797,7.8,1,38,3,89.33333333333334,1
4,91.2,8.61111111111111,8.5,2,46,3,88.22222222222223,1
5,112.2,6.275510204081632,7.7,0,53,3,90.77777777777777,1
2,36.6,7.554347826086957,6.0,2,42,1,82.33333333333333,1
2,42.0,8.909090909090908,6.5,2,46,1,85.11111111111111,1
4,66.60000000000001,8.083832335329342,7.1,1,51,2,82.44444444444444,1
2,39.6,7.953216374269005,7.2,0,30,1,87.0,0
3,63.6,9.393939393939394,7.8,0,33,1,92.33333333333334,0
4,112.2,9.876543209876543,8.2,0,49,3,93.55555555555554,1
2,33.0,7.424242424242424,8.1,1,39,1,84.0,1
4,72.0,9.329608938547485,7.1,3,55,2,84.44444444444444,1
3,75.0,9.386503067484663,8.4,1,22,2,93.66666666666666,1
3,70.19999999999999,6.858638743455497,6.0,2,31,2,75.33333333333333,1
4,67.2,9.767441860465116,6.8,2,20,2,82.77777777777777,1
2,78.0,7.292817679558011,8.1,3,21,1,83.0,1
3,65.4,6.810810810810811,8.0,3,56,2,82.44444444444444,1
3,87.6,8.777777777777779,6.7,0,45,1,83.22222222222223,1
3,81.60000000000001,7.988826815642458,8.2,0,20,2,91.55555555555554,1
3,89.4,6.76923076923077,6.1,1,36,2,75.88888888888889,1
2,61.2,6.494845360824742,7.1,0,33,1,78.44444444444444,1
4,67.8,7.653631284916202,7.3,0,40,2,84.55555555555556,1
5,90.6,6.6310160427807485,8.2,3,56,3,83.55555555555554,1
3,64.80000000000001,7.626262626262626,8.4,0,43,1,84.66666666666666,1
3,84.6,6.180904522613066,7.7,3,27,2,88.77777777777777,1
2,87.0,8.0,7.1,0,45,1,77.44444444444444,2
2,48.6,9.152542372881356,7.7,2,40,1,85.77777777777777,1
3,66.0,7.373737373737374,7.2,1,32,2,90.0,1
3,78.0,6.976744186046512,8.5,3,30,2,87.22222222222223,1
3,68.39999999999999,8.457142857142857,8.1,3,26,1,87.0,1
2,44.4,7.176470588235294,7.7,0,58,1,87.77777777777777,0
4,61.2,6.8449197860962565,8.2,3,35,2,88.55555555555554,1
2,46.2,9.26829268292683,6.5,1,54,1,81.11111111111111,1
3,86.39999999999999,9.135802469135802,7.7,3,45,1,83.77777777777777,1
5,95.4,8.704663212435232,6.2,3,23,3,77.44444444444444,2
4,72.6,7.888888888888888,6.1,0,38,2,74.88888888888889,1
2,88.8,7.788944723618091,7.2,3,50,1,88.0,1
3,75.0,9.386503067484663,8.1,0,22,2,92.0,1
3,70.19999999999999,6.302083333333334,8.0,3,59,2,90.44444444444444,1
5,108.0,7.701863354037267,6.1,1,31,3,71.88888888888889,2
4,96.60000000000001,6.345177664974619,6.5,3,46,3,75.11111111111111,2
5,91.2,7.914438502673797,7.2,2,38,3,86.0,1
2,82.8,8.296703296703297,7.6,3,49,1,90.22222222222223,1
4,92.4,6.793478260869565,7.7,2,31,3,81.77777777777777,1
4,67.8,8.42696629213483,7.5,1,34,2,85.66666666666667,1
2,85.19999999999999,7.180851063829787,6.2,3,25,1,74.44444444444444,2
4,62.400000000000006,8.313953488372093,7.7,2,54,2,86.77777777777777,1
3,81.60000000000001,8.181818181818182,7.7,2,52,1,89.77777777777777,1
2,46.2,8.588957055214724,6.1,2,39,1,82.88888888888889,1
3,81.60000000000001,8.91891891891892,6.0,2,52,2,78.33333333333333,1
3,36.0,9.010989010989011,6.1,1,18,1,74.88888888888889,1
3,61.800000000000004,8.324324324324325,6.1,2,59,2,76.88888888888889,1
5,108.0,7.321428571428571,6.5,1,36,3,74.11111111111111,2
2,45.0,7.687861271676301,6.0,1,26,1,75.33333333333333,1
2,43.8,7.239583333333334,7.1,3,44,1,83.44444444444444,1
3,79.2,6.470588235294118,7.8,2,55,1,88.33333333333334,1
4,93.60000000000001,8.159509202453988,7.3,3,51,3,80.55555555555556,1
3,60.6,7.4074074074074066,6.6,1,48,2,84.66666666666666,1
5,108.60000000000001,8.633879781420765,7.9,0,37,3,86.88888888888889,1
3,61.800000000000004,8.17142857142857,6.3,2,45,2,78.0,1
3,46.2,9.277777777777779,8.0,0,55,1,82.44444444444444,1
5,112.8,7.142857142857143,6.1,1,50,3,82.88888888888889,1
4,63.6,7.679558011049724,6.6,3,53,2,81.66666666666666,1
3,80.4,9.75609756097561,7.2,3,53,2,80.0,1
2,78.0,7.72972972972973,7.9,1,40,1,83.88888888888889,1
4,102.0,8.881987577639752,8.1,3,50,3,91.0,1
3,79.80000000000001,9.135802469135802,7.7,3,43,2,89.77777777777777,1
3,72.6,7.236180904522613,8.4,1,57,2,88.66666666666666,1
3,64.80000000000001,7.216494845360825,6.0,1,30,2,81.33333333333333,1
4,68.39999999999999,8.043478260869566,7.1,2,45,2,77.44444444444444,1
4,75.6,7.058823529411765,7.8,3,44,2,88.33333333333334,1
3,49.8,8.275862068965518,6.1,0,24,1,76.88888888888889,1
2,31.200000000000003,8.011695906432749,8.2,2,53,1,87.55555555555554,0
3,45.6,7.437185929648241,7.6,0,47,1,90.22222222222223,0
2,88.8,7.788944723618091,7.7,2,50,1,90.77777777777777,1
5,118.2,7.853107344632768,8.1,3,41,3,83.0,1
2,82.8,9.428571428571429,7.3,2,54,1,86.55555555555556,1
4,75.6,7.058823529411765,6.5,1,44,2,81.11111111111111,1
2,69.0,7.802197802197802,7.7,1,26,1,84.77777777777777,1
4,63.6,9.085365853658537,8.5,1,53,2,85.22222222222223,1
4,60.0,7.134831460674157,7.8,3,23,2,86.33333333333334,1
3,80.4,9.75609756097561,8.0,0,53,2,84.44444444444444,1
3,79.80000000000001,6.576086956521739,7.2,1,20,2,79.0,1
4,82.8,7.374301675977653,7.8,2,23,2,82.33333333333334,1
3,89.4,9.71264367816092,6.5,0,36,2,75.11111111111111,1
5,112.2,7.865853658536586,7.3,3,23,3,86.55555555555556,1
3,66.0,10.0,7.3,2,42,2,85.55555555555556,1
4,110.4,7.967032967032966,8.1,3,52,3,89.0,1
5,117.0,8.043478260869566,6.1,3,39,3,80.88888888888889,1
3,85.8,9.691358024691358,7.2,0,25,2,88.0,1
3,70.19999999999999,7.437185929648241,8.4,2,19,2,96.66666666666666,1
3,87.6,7.664670658682635,6.5,3,59,1,77.11111111111111,2
4,91.2,6.9491525423728815,6.8,0,29,3,77.77777777777777,2
3,76.2,7.740112994350282,7.6,3,30,1,84.22222222222223,1
3,61.800000000000004,9.314285714285713,6.2,2,43,1,78.44444444444444,1
5,112.2,8.64864864864865,6.7,1,36,3,76.22222222222223,2
2,45.0,7.687861271676301,6.5,3,26,1,78.11111111111111,1
4,62.400000000000006,8.313953488372093,6.3,0,54,2,79.0,1
4,77.4,8.170731707317072,7.7,1,28,2,86.77777777777777,1
4,76.8,9.257142857142856,6.6,1,58,2,77.66666666666666,1
4,87.0,8.322981366459627,6.1,1,43,2,82.88888888888889,1
3,55.800000000000004,8.797814207650273,6.1,3,49,1,78.88888888888889,1
4,87.0,8.214285714285714,7.5,2,57,2,85.66666666666667,1
3,76.8,6.410256410256411,6.5,2,32,1,79.11111111111111,1
2,66.0,10.0,7.2,1,35,1,87.0,1
3,84.6,6.180904522613066,6.4,3,27,2,81.55555555555556,1
3,60.0,6.5482233502538065,7.6,1,56,2,90.22222222222223,0
3,45.0,9.352941176470589,8.1,0,48,1,84.0,1
4,101.39999999999999,7.513513513513513,6.1,1,41,3,82.88888888888889,1
2,80.4,6.758241758241759,7.5,2,27,1,79.66666666666667,1
2,37.8,7.57396449704142,7.9,0,58,1,88.88888888888889,0
2,67.2,7.208121827411168,8.1,2,38,1,85.0,1
4,61.800000000000004,7.309941520467836,7.7,3,30,2,92.77777777777777,1
5,106.8,7.297297297297297,6.1,1,35,3,76.88888888888889,2
4,79.2,10.0,6.6,1,40,2,74.66666666666666,1
3,76.8,6.410256410256411,7.3,3,32,1,83.55555555555556,1
4,78.0,9.096045197740112,7.1,0,59,2,84.44444444444444,1
2,37.2,8.256410256410255,7.3,2,38,1,83.55555555555556,1
5,112.2,7.865853658536586,7.2,2,23,3,86.0,1
2,71.39999999999999,8.167539267015707,8.2,3,36,1,83.55555555555554,1
4,67.8,8.42696629213483,6.7,2,34,2,81.22222222222223,1
4,85.19999999999999,8.580246913580247,7.2,1,22,2,81.0,1
3,73.8,7.422680412371134,8.1,3,36,1,89.0,1
4,94.2,8.362573099415204,8.0,0,58,3,87.44444444444444,1
4,102.0,8.881987577639752,7.4,1,50,3,87.11111111111111,1
3,58.199999999999996,7.6608187134502925,6.1,3,21,1,76.88888888888889,1
3,51.0,9.53216374269006,7.3,1,40,1,78.55555555555556,1
3,66.60000000000001,7.4074074074074066,8.2,3,37,2,84.55555555555554,1
3,81.0,9.176470588235293,6.0,1,25,2,79.33333333333333,1
5,100.19999999999999,9.880239520958083,7.7,2,43,3,92.77777777777777,1
5,114.0,8.46590909090909,7.7,2,48,3,84.77777777777777,1
2,67.8,9.166666666666666,8.2,2,27,1,94.55555555555554,1
5,99.6,9.207317073170731,7.7,1,38,3,81.77777777777777,1
2,67.8,7.470588235294118,6.1,1,30,1,75.88888888888889,1
4,60.0,7.134831460674157,7.2,1,23,2,83.0,1
3,69.0,8.685714285714285,7.8,2,53,2,83.33333333333334,1
4,85.19999999999999,8.49740932642487,7.7,2,19,2,88.77777777777777,1
2,81.60000000000001,9.226519337016574,6.1,3,34,1,78.88888888888889,1
3,81.0,8.983957219251337,6.0,3,59,2,71.33333333333333,1
2,46.2,9.26829268292683,8.1,0,54,1,90.0,0
