age,weight_kg,height_cm,bmi,neck_cm,abdomen_cm,bodyfat_pct
55,57.379388,169.54500000000002,19.961167479181032,33.4,78.2,12.5
51,62.255502,172.085,21.022855591278372,36.5,82.0,8.0
49,63.729676,172.72,21.362715260032594,35.8,79.4,7.1
40,76.430252,175.895,24.703489430959365,34.2,92.3,21.4
35,80.399182,180.34,24.721083383845002,38.4,90.3,20.5
50,73.7087,168.91,25.834973938024078,38.7,86.7,11.3
72,71.554138,170.815,24.52351641757774,37.7,88.1,14.9
35,78.358018,176.53,25.14469661204733,37.6,90.8,16.5
55,76.883844,173.355,25.583640524444032,37.2,91.1,14.8
47,80.852774,177.8,25.5759286416532,40.2,95.0,22.1
47,74.956078,179.07,23.375514966914448,37.5,83.1,8.5
25,65.20385,184.15,19.227808729101405,35.2,76.5,5.3
40,66.111034,170.815,22.65801913066216,35.5,83.6,11.5
44,94.68733,185.42000000000002,27.54093732995122,41.9,96.3,16.6
35,69.059382,172.085,23.320435437319723,37.0,81.9,3.0
50,89.244226,173.355,29.696644679553767,42.1,98.8,28.4
33,88.904032,185.42000000000002,25.858796247523063,38.5,95.6,14.6
70,60.894726,170.18,21.02628961328317,34.9,83.6,11.0
40,75.97666,181.61,23.03566111362258,39.4,83.7,8.6
43,69.059382,172.085,23.320435437319723,37.5,78.0,17.4
43,90.83179799999999,186.69,26.061283442850097,38.6,102.8,19.3
28,77.791028,191.135,21.293598887900863,35.6,83.5,17.3
41,95.481116,182.88,28.548616086429703,38.5,98.9,20.4
47,71.780934,183.51500000000001,21.314049443151386,34.9,86.7,10.2
74,94.12034,177.8,29.77282015788521,40.8,108.5,31.9
24,95.367718,189.865,26.455231335759922,39.0,94.4,20.9
32,94.914126,180.34,29.184128056809968,42.1,97.5,22.9
36,79.94559,181.61,24.239016544931225,38.7,90.3,16.9
49,89.244226,187.325,25.432476085291157,40.7,95.5,22.3
30,61.915307999999996,174.625,20.304168058253467,35.9,76.6,12.5
48,79.491998,182.245,23.93382817821008,38.0,92.4,26.7
51,81.192968,182.88,24.27649538941053,41.0,90.0,13.9
51,70.079964,177.8,22.16819621394345,36.9,81.5,7.5
52,92.192574,188.595,25.920035460789894,42.0,101.6,18.3
35,98.429464,187.325,28.05004986281159,40.5,95.1,19.2
49,98.08927,189.23,27.39312149494981,40.2,104.0,27.2
43,75.069476,173.99,24.797894510275672,31.1,87.3,18.0
55,81.533162,174.625,26.737539988798982,41.1,95.3,10.9
31,80.399182,181.61,24.376542879937926,36.2,92.4,22.5
55,83.234132,171.45,28.31564611826069,40.9,100.3,30.0
34,59.647348,171.45,20.29159381226856,36.2,74.6,7.9
62,76.54365,171.45,26.039592819926384,38.3,95.6,18.6
40,72.234526,177.165,23.013833681988356,35.3,86.8,12.1
62,86.862868,183.51500000000001,25.79235683010105,40.6,98.2,24.8
40,86.636072,187.96,24.522677168071645,38.3,92.4,25.8
52,75.749864,172.085,25.579722285927055,37.5,91.0,23.3
29,72.914914,175.26,23.73836226353402,36.7,83.5,8.8
67,74.27569,172.085,25.08191331928476,38.4,95.8,31.4
47,89.357624,186.055,25.813620512143583,37.8,99.8,23.6
50,92.079176,170.18,31.793942580979394,40.2,108.1,32.6
51,67.698606,177.165,21.56869498924183,34.8,81.1,13.6
54,89.811216,182.88,26.85333009554908,39.9,100.0,22.6
39,56.812398,172.72,19.043986379495248,31.5,76.0,7.7
37,68.492392,170.18,23.649681427230973,35.3,83.2,13.1
47,57.83298,169.54500000000002,20.118963269530287,34.0,70.4,4.0
41,83.91452,173.355,27.92314747505691,38.0,101.2,24.4
62,97.975872,186.055,28.303259038695497,41.4,104.8,26.1
23,85.34333480000001,196.85,22.0241304482609,38.0,85.3,10.3
42,61.80191,171.45,21.0245601286813,37.8,77.6,3.9
28,81.192968,172.72,27.216555384667856,39.1,95.9,19.1
46,75.749864,170.18,26.155607936076642,36.6,89.9,17.5
66,106.25392599999999,182.88,31.769659469102887,41.4,109.0,30.4
64,70.420158,176.53,22.59747698419883,37.9,82.8,12.4
33,83.574326,174.625,27.4069081665436,40.7,92.1,13.0
69,80.625978,173.99,26.63338821269789,38.7,95.0,22.2
44,75.296272,166.37,27.203415889262875,39.1,93.9,32.9
43,87.996848,191.77,23.9279658244418,38.5,88.7,17.3
72,86.522674,179.07,26.982629228072195,38.9,101.3,26.0
32,81.873356,176.53,26.27275101866595,38.4,91.6,20.8
34,88.790634,180.34,27.301281085402874,38.9,96.4,29.0
45,61.575114,173.99,20.34026694725029,32.8,83.4,13.6
39,99.450046,188.595,27.960481056719235,40.0,104.6,26.6
52,93.666748,189.23,26.15805590153589,40.8,99.2,27.9
28,90.945196,177.165,28.975030789567754,41.3,98.8,15.2
25,93.666748,177.165,29.842114005215667,40.9,100.5,29.6
43,90.945196,181.61,27.57403016884375,37.9,103.1,28.7
40,77.67763,179.07,24.22424773424568,36.3,90.3,22.7
42,70.87375,175.26,23.07383579270414,35.5,86.0,22.0
57,67.018218,167.005,24.028902116703453,35.2,86.4,10.6
61,64.863656,167.005,23.25639934137796,36.5,83.3,11.8
32,82.553744,187.325,23.525848272035528,38.7,88.7,11.9
39,106.480722,189.23,29.736579287581353,42.8,104.5,16.9
41,99.109852,180.34,30.474226907588903,39.8,100.5,21.3
43,68.0388,175.895,21.991236882159672,35.2,85.7,22.1
